Character,Sentence
dumbledore,"Meanwhile, I'd like a nice cup of tea or a large brandy."
hermione,"He's not relaxing, is he?"
hermione,No! I trusted you!
snape,"Thank you, Mr. Malfoy."
harry,Professor Trelawney...
harry,What's that for?
harry,And everyone who was Petrified will be all right again.
harry,Blown up?
hermione,"Harry, you do realize what tree this is?"
harry,You wish.
dumbledore,"Well, you can speak Parseltongue, Harry. Why?"
harry,Hagrid!
dumbledore,Very good.
harry,"I think we're going to need another feather over here, Professor."
harry,I didn't mean to blow her up. I just...I lost control.
harry," I think if he'd had the chance, he might have tried to kill me tonight."
harry,"Hagrid, are you okay?"
harry,"Give me my wand, Tom."
harry,What just happened?
dumbledore,Ah. Bertie Bott's Every Flavour Beans. 
dumbledore,"That is why tomorrow it will be moved to a new home, and I must ask you not to go looking for it again."
hermione,Maybe.
harry,I'm Harry. Harry Potter.
dumbledore,"Therefore, I must warn each and every one of you to give them no reason to harm you."
harry,Just like that? How?
harry,That's what Snape wants.
dumbledore,Their tears have healing powers.
harry,I hope he finds me.
harry,We think Snape's trying to steal it.
harry,You need to sound more like Crabbe.
dumbledore,"Assuming that my calculations are correct, I believe that a change of direction is in order. "
hermione,Ahhh! Help!
hermione,To the Shrieking Shack?
dumbledore,Harry?
hermione,Boggarts are shape-shifters.
hermione,At least no one on the Gryffindor team had to buy their way in.
hermione,Blood?
harry,"Alive, you're free."
harry,What are you talking about?
harry,Expecto Patronum!
harry,Let go of me!
dumbledore," Everyone will please, not panic. "
hermione,Nearly headless?
hermione,"If you don't, it will only kill you faster."
harry,"With the Elixir of Life, Voldemort will be strong again. "
dumbledore,The Chamber of Secrets has indeed been opened again.
harry,"Has this anything to do with Sirius Black, sir?"
harry,Hello?
harry,Ron's right...I have to go on.
hermione,Buckbeak.
harry,"What do you mean, she won't wake?"
dumbledore,I see.
harry,I was thinking of him. And Mum.
harry,Use it well.
hermione,That's what Fluffy's guarding on the 3rd floor. 
hermione," You don't use your eyes, do you? "
dumbledore,"Finally, on a more disquieting note at the request of the Ministry of Magic "
hermione,and it'll be dangerous.
harry,"Hagrid, we know he's after the Stone. "
dumbledore,It was because of your mother. 
harry,But you're innocent.
harry,Yeah. Him I've heard of.
harry,Because there's no post on Sundays?
harry,Where's Professor Lupin?
harry,"Dobby, get back here!"
harry,Egypt. What's it like?
harry,"I mean, do you talk to people often?"
harry,Brilliant! Where did you get it?
harry,Good of you to get us out of trouble like that.
harry,My body's gone!
hermione,"For all we know, you could be."
harry,Voldemort killed my parents.
hermione,"The staircases change, remember?"
harry,It's just what I saw.
hermione,What happens now?
harry,And request he keep his large nose out of other people's business.
harry,"But, he got himself bitten, that's why he's limping."
dumbledore,"The rest of you, to the Great Hall."
dumbledore,"Exactly, Harry. Exactly."
harry,I don't know.
hermione,Immobulus!
harry,"Hey, he's gone!"
harry,"Ginny, you need to get yourself out."
harry,Whoa! Whooa!
harry,"Ginny, please don't be dead. Wake up."
harry,That's Dudley's old uniform.
harry,"And you framed him, didn't you?"
harry,I'll see you back in the common room.
harry,"You're from Burma, aren't you?"
hermione,This came with it.
harry,...watching people press their ugly faces in on you.
harry,Oh. Of course!
hermione,That was so scary.
harry,Come on.
hermione,Even they aren't that thick.
hermione,Do you mind me trying?
snape,Turn to page 394.
snape,What are you doing wandering the corridors at night?
hermione,Hagrid! He has to be taken to the hospital.
snape, Good afternoon. 
harry,Famous fire eaters...
hermione,"Besides, youre saying it wrong. "
harry,Let go of me!
harry,Lumos Maxima...
harry,Let's go.
dumbledore,One hopes that no more of Lord Voldemort's old school-things should find their way into innocent hands.
harry,It was you. 
harry,Sorry.
harry,I said we'd take you to the castle.
harry,Why don't we just set him free?
harry, Shh!
harry,Mischief managed.
harry,"Hey, Hagrid."
harry,Look. Buckbeak's still alive.
dumbledore,and then they are reborn from the ashes.
harry,That's horrible.
harry,Can you tell me?
hermione,Curious. I've never seen birds like these.
harry,"Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?"
harry,"No, thank you. Minister?"
harry,"Happy Christmas, Ron. "
dumbledore,"Third place, Hufflepuff, with 352 points. "
harry,"Ron, I should tell you most Muggles aren't accustomed to seeing a flying car."
snape,I'll get rid of it for you.
hermione,I heard him.
harry,"What's in there, Hagrid?"
dumbledore,"Mysterious thing, time."
snape,What about Potter?
harry,Strange?
snape,"As an antidote to your ignorance, and on my desk, by Monday morning two rolls of parchment on the werewolf, with emphasis on recognizing it."
hermione,"Hogwarts teacher or not, I know a curse when I see one. "
harry,But why?
harry,Wait a minute.
harry,But he's weak. 
hermione,How could I be so stupid? 
harry,Come on.
hermione,We'll have to wait for the Polyjuice Potion to know for sure.
harry,At least we can tell him what we know.
harry,You stopped the barrier from letting Ron and me through.
harry,"Stop, Dobby!"
snape,When you've had time to decide where your loyalties lie.
harry,What is it?
hermione,No one knows.
hermione,How are you feeling?
harry,But she’s bored! 
hermione,"Well, it's not very good, is it?"
harry,Get us in the air.
harry,"I didn’t mean to offend you, or anything."
hermione,We're forgetting one thing. 
snape,"Don't move, Potter."
snape,"You two, quarrelling like an old married couple."
harry,How did he escape?
harry,"Brilliant, professor."
harry,"Why do you wear that thing, Dobby?"
snape,Asphodel and wormwood make a sleeping potion so powerful it is known as the Draught of the Living Dead.
harry,That's what the dog's guarding. 
harry,"Thanks, Myrtle."
harry,I'm...
hermione,You're dying both of you.
hermione,Lumus Solem!
harry,He told me so the first time I met him.
harry,Tom. Tom Riddle.
harry,Remember what Aragog said about that girl 50 years ago?
harry,Are you going somewhere?
harry,I don't know. 
snape,Quiet.
harry,RON! 
dumbledore,"She sacrificed herself for you, and that kind of act leaves a mark. "
harry,Wait a minute.
snape,"Come back here, Potter!"
harry,There was no name. 
harry,"Professor, why do the dementors affect me so?"
dumbledore,Which makes you different from Voldemort.
hermione,"You go, I'll stay."
dumbledore,"Minister, I really think I should sign as well."
snape,Silence.
harry,And they found it.
hermione,But it's tricky. 
harry,I'll go first. 
hermione,Professor? Professor Lupin?
harry,That's the vault Hagrid and I went to.
hermione,Not to mention we'd be breaking about 50 school rules...
hermione,Pathetic!
harry,It's a snake.
harry,You could teach me.
hermione,We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.
harry,"Professor, can I ask you something?"
hermione,Again? You mean the Chamber of Secrets has been opened before?
hermione,Harry!
harry, Ew. Troll bogies.
harry,Move!
snape,"That's not really your concern, is it, Potter?"
harry,Okay.
hermione,Come and get the nice dead ferret.
hermione,"It's Leviosa, not Leviosar."
hermione,"It will turn any metal into pure gold and produces the Elixir of Life, which will make the drinker immortal."
hermione,According to him only a really powerful wizard could have conjured it.
dumbledore,Mm. Alas. Earwax.
harry,"""Tom Marvolo Riddle."""
harry,He's living off the unicorns. 
dumbledore,"I see that you, like so many before you, have discovered the delights of the Mirror of Erised. "
dumbledore,SILLLLLEEENNNNCEEEEE!
hermione,Is that bad?
harry,She's not...?
dumbledore,That's ling you see over there...
hermione,Dumbledore obviously wanted us to return to this moment.
hermione,Yeah?
dumbledore,"Men have wasted away in front of it, even gone mad. "
harry,Sorry about him.
harry,Yeah.
harry,What?
harry,You're doomed.
hermione,This is how I've been getting to my lessons all year.
dumbledore,"In second place, Ravenclaw, with 426 points"
hermione,Voice? What voice?
harry,We've missed it.
harry,It's locked!
harry,Harry Potter?
harry,"Wake up, wake up."
harry,Here they come. I'd better hurry.
dumbledore,And I have a few last minute points to award. 
harry,"Let me go! Come on, guys. Don't..."
harry,Up! Up!
snape,Vengeance is sweet.
harry,Looks like Moaning Myrtle's flooded the bathroom.
harry,15th Century Fiends...Flamel...
dumbledore,"A child's voice, however honest and true is meaningless to those who have forgotten how to listen."
hermione,"Friendship, and bravery. "
harry,A woman.
hermione,Don't be silly. How could anyone be in two classes at once?
dumbledore,And second I sense that something is troubling you.
harry,"Ginny! Ginny, please don't be dead."
harry,"Dear Mr. Potter,"
hermione,I heard Snape telling Dumbledore.
hermione, But why would anyone go near that dog?
hermione,Ron. Ron!
dumbledore,"Fortunately, I'm delighted to announce that his place will be taken by none other than our own Rubeus Hagrid."
hermione,"I don't know, but it sounded like you were egging the snake on or something."
harry,Hermione! 
harry,There's another.
harry,"If something bad happens, get yourselves out…"
harry,Get off!
harry,You knew? 
harry,if Malfoy is the Heir of Slytherin he could attack half the Muggle-borns in the school by then.
harry,Good job.
harry,Are you a ghost?
dumbledore,Professor Dippet had that ling planted when he was headmaster.
harry,Who’s plotting them?
harry,You betrayed my parents.
harry,Nicholas Flamel...Who's Nicholas Flamel?
dumbledore,All right.
harry,that was drinking its blood...that was Voldemort?
harry,My dad didn't strut. And nor do I.
harry,He'll know what to do.
dumbledore,"Fortunately, our young Mr. Potter discovered it."
hermione,"Simple, but powerful."
harry,"I think I can tell the wrong sort for myself, thanks."
harry,"Hey, hey, hey!"
snape,Turn out your pockets.
harry,When I said I wasn't hungry.
harry,"When we free him, I'll never have to go back to the Dursleys'."
hermione,"Okay, go, Harry. Go!"
hermione,We'll have exactly one hour before we change back into ourselves.
harry,The train leaves at exactly 11:00.
dumbledore,This mirror gives us neither knowledge or truth. 
hermione,Are you okay?
harry,"Does that mean, with the Stone gone, I mean, that Voldemort can never come back?"
harry,This is not normal.
harry,"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad."
snape,You were seen by no less than seven Muggles.
harry,Seeing their faces.
harry,Who is that? That man.
harry,I- I was just—
harry,How can it? 
dumbledore,And between you and me thats saying something.
harry,"But Flamel, he'll die, won't he?"
dumbledore,It would take a true Gryffindor to pull that out of the hat.
harry,You knew all along and you never told me?
dumbledore,I trust by now you realize what it does. 
harry,Never!
harry,Mr. Malfoy.
hermione,I've read all about them. 
snape,"You don't want me as your enemy, Quirrell."
harry,"Excuse me, who are you?"
harry,"Up! Ron, mind that tree!"
harry,"I can’t let you out, Hedwig. "
harry,Hermione that's the he betrayed my parents.
dumbledore,All right. It'll be all right.
harry,I've got Dumbledore!
harry,"The state of things, sir?"
hermione,Tah- tah- tah- dah! Isn't he beautiful?
harry,Go on!
harry,Sir? I wonder if I could have that?
hermione,Someone like me.
hermione,Professor R.J. Lupin.
harry,Are you mad?
dumbledore,"Quite remarkable, yes."
harry,"Come on, then. Let's go lower."
harry, What did he look like?
harry,"Sirius Black, you mean?"
harry,I don't even know if it's real.
hermione,There are more important things. 
harry,It's about...the Sorcerer's Stone.
harry,They were talking to me.
harry,50?!
hermione,"Furthermore, The werewolf only responds to the call of its own kind."
hermione,"You're a great wizard, you really are."
dumbledore,"You both realize, of course that in the past few hours, you have broken perhaps a dozen school rules."
hermione,Come on. And we can't be seen.
hermione,and then Mrs. Norris turns up Petrified. It's just strange.
harry,What's this?
harry,Dobby.
harry,"He killed my parents, didn't he?"
harry,Thank you. Bye.
snape,"Where, Mr Potter, would you look if I asked you to find me a bezoar?"
harry,I'm just telling you what I saw.
harry,Raids?
dumbledore,"But you know, happiness can be found even in the darkest of times if one only remembers to turn on the light."
harry,Get us out of here.
harry,How did he find out?
harry,You heard what Hagrid said.
dumbledore,Tell them to search every painting in the castle to find the Fat Lady.
dumbledore,"Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. "
harry,You were there. You heard me.
harry,Resigned? Why?
hermione,Seems to be. Why?
hermione,Look at my face.
hermione,I've read about those.
harry,Now you’ve done it.
harry,Who is it?
harry,She's cold as ice.
hermione,It's also quite dangerous. 
hermione,"I mean, everyone's looking for him."
dumbledore,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs."
hermione,We haven't heard the end of this.
harry,Dumbledore?
harry,I think I've had enough for today.
harry,"Come on, go! Fast!"
dumbledore,"And you would do well, I feel, to return before this last chime."
harry,Whoa.
harry,Both my parents are dead.
harry,He's asleep!
harry,Me? Voldemort tried to kill me?
harry,Do you know who's opened the Chamber of Secrets?
harry,I'm invisible??
hermione,Swish and flick!
harry,"You were right, Hermione."
harry,Muggles?
hermione,They take the shape of whatever a person fears the most.
hermione,"Go, Harry! Go, Harry!"
harry,I'm trying to get to Hogsmeade.
hermione,"Yeah, I didn't think about that. Run!"
harry,"Sorry, no."
harry,I think you slipped the diary into Ginny Weasley's cauldron that day at Diagon Alley.
harry,A little.
harry,Expecto... Expecto...Expect...
harry,No. Mr. Filch! You don't understand...
harry,I think it was my mother the night she was murdered.
harry,"Hagrid, who gave you the dragon egg?"
harry,Shall we? Wand at the ready.
hermione,Didn't you see what it was standing on?
harry,You've been sacked.
dumbledore,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. "
harry,My scar. It keeps burning.
hermione,"Oh, I'm sorry."
harry,I want to go with you.
dumbledore,I don't think the minister's suggesting you had anything to do with this.
harry,Come on.
harry,"Ron, maybe I should do it."
harry,Shush!
harry,Lost control of the trolley.
harry,That was no stranger Hagrid met in the village. 
hermione,"It's on his suitcase, Ronald."
harry,It's Mrs. Norris.
dumbledore,You must have shown me real loyalty down in the Chamber.
harry,Now!
dumbledore,"Ah, Professor, I would trust Hagrid with my life."
hermione,Never better.
harry,"But who threw it at you, anyway?"
harry,"Oh, no."
hermione,Harry!
harry,Hermione?
harry,Is he all right? 
harry,"Sorry, but what's curious?"
harry,"Wish you were here, Hermione."
hermione,"Sorry, Ron, but seeing as you can't walk..."
dumbledore,There is sufficient evidence to have you both expelled.
dumbledore,That is one of my more brilliant ideas. 
harry,Calm down.
harry,We've got loads to tell you.
harry,"It's not true, sir. I swear."
harry,Follow the Chamber and you'll find Ron.
harry,"But Hagrid, we're not allowed to do magic away from Hogwarts. You know that."
harry,No. Sirius!
snape,Page 394.
harry, It means dangers coming. Uhh!  
harry,"NO! Don't move! Dont forget, we're still playing. "
dumbledore,"Yes, yes, well done Slytherin, well done Slytherin. "
hermione,I expect we'll be arriving soon.
hermione,Saving your life.
harry,One minute. 
harry,"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry."""
harry,"I don't know, Sir."
harry,"Come on. Come. Come look, it's my parents!"
dumbledore,Riddle! Come.
dumbledore,They burst into flame when it is time for them to die...
harry,Hagrid!
harry,Hang on.
dumbledore,Scabbers?
harry,I don't understand.
dumbledore,"No, no, this kind of mark cannot be seen."
hermione,"It's a cat, Ronald."
hermione,But I was wrong. 
harry,Don't even think about it.
dumbledore,Aresto momentum!
dumbledore,I'm quite convinced the castle is safe and I'm more than willing to send the students to their houses.
hermione,Harry!
hermione,We can't be seen.
harry,Who's doing it now?
harry,That's one nasty dementor.
harry,That's odd. 
dumbledore,Everyone will proceed to their dormitories immediately.
dumbledore,She has been Petrified.
harry,Why do you care how I escaped?
harry,We know one thing.
harry,"Forget about it, guys. See you later."
harry,"Hermione, come out."
harry,Strange.
hermione,Thanks.
hermione,She's a little sensitive.
dumbledore,"Perhaps. But for now, let him sleep."
harry,Good to see you too.
harry,"Mind you, she might not have needed saving if you hadn't insulted her."
harry,Justin... Justin must have seen the basilisk through Nearly Headless Nick.
harry,Dead. I know.
hermione,Say something.
harry,Expecto Patronum!
hermione,That's it! Devil's Snare hates sunlight!
harry,"If you don't mind, I would appreciate it if you could lower your wand."
harry,"B-but, that day, during the Quidditch Match, Snape tried to kill me."
snape,Well...
dumbledore,Pity you had to see him on a burning day.
harry,That's Pettigrew.
dumbledore,Argus!
hermione,"Good morning, Mr. Weasley."
hermione,Alohomora
dumbledore,"Secure the castle, Mr. Filch."
harry,He'll never be gone. 
harry,Someone's going to try and steal it.
harry,I don’t belong here. 
dumbledore,"Well, search the skies, if you must, minister."
harry,"Give me those, now!"
hermione,the Philosopher's Stone!
hermione,He called me a Mudblood.
harry,Do you think I should have told them?
hermione, It was locked.
harry,"Yes, Uncle Vernon."
harry,I think it's going to kill.
hermione,"Come on, everyone's been so worried."
hermione,Harry!
dumbledore,Tell them Hogwarts is no longer safe.
harry,It's just a memory.
hermione,"Oh, no."
snape,Suffice it to say your professor finds himself incapable of teaching at the present time.
harry,Get off!
harry,Repeat itself? You mean this has happened before?
harry,Colin saw it through his camera.
hermione,I...I don't think I'm going.
hermione,It had to be a Gryffindor.
harry,Not as long as those who remain are loyal to him.
dumbledore,"Now, I'd like to say a few words before we all become too befuddled by our excellent feast."
harry,You made the one on the train go away.
harry,He's put a spell on the harp.
harry,Shut up! Shut up!
dumbledore,"I do, Miss Granger."
harry,"How is it I got the Stone, sir? "
dumbledore,You've been with us all the time.
harry,I gotta tell you something.
harry,You're a fraud.
dumbledore,Over there.
harry,This way.
harry,How long will it take to make?
hermione,"Come on, Harry."
