,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
849,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1573,PhD,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1473,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
401,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1959,2n Cycle,Married,40s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Store
306,Graduation,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1380,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
330,PhD,Together,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1825,Master,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1600,Graduation,Single,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
777,Master,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1807,2n Cycle,Together,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
2106,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1079,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
56,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1642,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
610,2n Cycle,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2181,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
582,Master,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1228,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
585,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1868,Graduation,Single,20s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1223,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
511,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,Meat,Sweets,Store
1262,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
852,PhD,Together,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
2188,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
751,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
307,Graduation,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1902,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
60,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1371,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
931,Basic,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
1660,Basic,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
563,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
2163,Master,Married,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
944,Graduation,Single,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
793,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2117,Graduation,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1069,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1401,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
468,Master,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1219,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1178,Master,Widow,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1533,Master,Divorced,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
14,PhD,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
555,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1475,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
583,Graduation,Divorced,40s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
1646,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
429,Graduation,Married,60s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
232,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
137,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1188,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
821,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1954,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
423,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
2012,2n Cycle,Together,20s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
2029,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
2081,Basic,Married,30s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
393,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1319,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
532,2n Cycle,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
834,Master,Single,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
246,Graduation,Single,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
195,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
323,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1258,Master,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1191,Master,Together,50s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
1625,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
412,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
948,PhD,Single,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
899,PhD,Widow,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1796,Graduation,Together,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1404,2n Cycle,Single,30s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
1685,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
638,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
351,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1351,2n Cycle,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
776,Graduation,Divorced,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
936,2n Cycle,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
223,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
718,PhD,Together,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1597,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1782,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1594,2n Cycle,Married,30s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2103,Graduation,Married,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
1146,Graduation,Married,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
512,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2122,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1925,Graduation,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1984,PhD,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
410,Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1875,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2001,Graduation,Divorced,60s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
866,2n Cycle,Together,30s,Low,Children,No Wine,Fruits,No Meat,Sweets,Web
133,Graduation,Together,20s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Web
26,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
66,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1095,2n Cycle,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
2170,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
28,Master,Divorced,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
269,Basic,Married,30s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
1614,PhD,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1456,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1298,Master,Single,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
797,Graduation,Married,30s,Medium,No Children,No Wine,No Fruits,No Meat,Sweets,Store
172,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1718,Graduation,Divorced,50s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1808,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1643,PhD,Single,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1630,Graduation,Single,30s,Medium,No Children,Wine,Fruits,Meat,No Sweets,Store
1101,PhD,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1990,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
2041,Graduation,Married,60s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
2030,Graduation,Married,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
2206,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
457,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
381,Master,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
605,Graduation,Widow,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1672,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1089,Graduation,Married,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
560,PhD,Together,40s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1928,Graduation,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1983,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
487,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
609,Graduation,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1667,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1398,Graduation,Single,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
347,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
912,Master,Together,30s,Low,No Children,No Wine,Fruits,Meat,Sweets,Web
417,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
209,2n Cycle,Together,20s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
21,PhD,Married,60s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1841,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
837,Graduation,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1038,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
7,PhD,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1184,Master,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1731,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
925,Graduation,Single,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1696,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1852,2n Cycle,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
650,Basic,Married,30s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2101,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2006,Master,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1799,2n Cycle,Together,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1794,PhD,Single,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1559,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1331,Basic,Single,20s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
1576,Master,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1445,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
768,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1107,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
262,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2065,Graduation,Single,30s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
235,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1157,Basic,Married,80s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
885,PhD,Married,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
2149,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1492,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1171,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1927,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2172,Master,Single,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1078,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
247,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
231,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1330,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2052,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
567,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
982,Graduation,Single,80s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
252,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
366,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1791,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
87,Graduation,Widow,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1638,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
756,Master,Married,50s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
987,PhD,Widow,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1968,Graduation,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1655,Master,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
755,2n Cycle,Married,40s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
1259,Graduation,Single,30s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
1154,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2196,Master,Together,20s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
788,Graduation,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
904,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
527,2n Cycle,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1088,2n Cycle,Married,30s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Store
769,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
461,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2209,Graduation,Together,30s,High,Children,No Wine,Fruits,No Meat,No Sweets,Web
1043,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
369,Graduation,Widow,50s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Store
967,2n Cycle,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
402,PhD,Married,60s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
480,Master,Single,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
763,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1459,Master,Single,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
2022,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
697,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1014,Basic,Single,20s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Web
1515,PhD,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
664,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1122,2n Cycle,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
972,PhD,Married,30s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
2038,Graduation,Single,40s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Web
1367,2n Cycle,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
539,PhD,Single,40s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
154,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1512,Graduation,Together,50s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
572,2n Cycle,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1226,Graduation,Single,50s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1081,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1039,PhD,Married,60s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
1098,2n Cycle,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
683,Graduation,Single,80s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1254,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
884,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1898,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
2173,Graduation,Single,30s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1851,Master,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
45,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1622,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1717,2n Cycle,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1987,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1919,PhD,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
938,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
794,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
116,2n Cycle,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
871,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1881,PhD,Single,60s,High,No Children,No Wine,No Fruits,No Meat,Sweets,Web
442,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
591,Master,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1937,PhD,Single,40s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
894,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2147,Graduation,Single,40s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
48,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
973,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
244,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1703,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
357,2n Cycle,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1832,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1305,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
53,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
599,Basic,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1240,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
297,Master,Married,40s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
2189,Master,Divorced,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1904,2n Cycle,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1422,Graduation,Married,20s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1412,Graduation,Single,30s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Web
649,Graduation,Widow,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
418,Graduation,Married,20s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
478,Graduation,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
779,Graduation,Single,60s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1911,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
79,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1114,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1686,PhD,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
613,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
761,PhD,Together,50s,Low,Children,Wine,No Fruits,No Meat,No Sweets,Store
1634,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
453,PhD,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1160,Master,Married,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
791,Graduation,Married,50s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
40,Graduation,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1734,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1253,PhD,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1802,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
200,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1760,PhD,Married,30s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Web
1877,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1738,Basic,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
646,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
